,image_ids,True answers,Predicted answer,True rationales,Predicted rationale
11,74733,"['eight', 'nine', 'eight', 'nine', 'four', 'eight', 'eight', 'eight', 'eight', 'eight']",two,"['There are 8 glasses.', 'Beer has a gold to dark brown color. the other cup is too light to be beer.', 'There are four glasses on one side and an additional four on the other.']",The flatbread pieces are covered with different ingredients in between a flight of beers.
12,78170,"['window', 'window', 'window', 'window', 'window', 'window', 'window', 'window', 'train window', 'window']",a train window,"['The transparent nature of the windows on this train lets us see the passengers inside.', 'The big opening is filled with glass which makes it a window.', 'The people are on a train and there is a clear glass that these women can be seen, these are called windows.']",A train window is a window that is used to view the train.
13,87144,"['mother/child', 'parents', 'parents', 'parents', 'mother/child', 'parents', 'parents', 'grandparents', 'parents', 'parents']",They are parents,"[""The adults are likely the grandparents since they're so much older."", 'The adults are grandparents.', 'The people look a bit too old to be parents.']",The woman and her child are likely related to each other in some way.
14,88345,"['ten', 'ten', 'ten', '1000', 'ten', '9 oclock', '1000', 'ten', ""ten o'clock"", 'ten']",1:00,"['That is how long it is for 31 mins.', ""It would be ten o'clock."", 'The clock on the wall indicates that it currently is about 9:29.']","If the time in approximately 31 minutes is 1:00, then the time in approximately 31 minutes"
15,88462,"['school bus', 'school bus', 'school', 'school bus', 'school', 'school bus', 'school', 'school', 'school', 'school bus']",school bus,"['The bus takes children to school.', 'The bus is yellow which is typical of school busses, and says first student.', 'The bus is yellow. the word student is on the side of the bus.']",A large yellow school bus is stopped on a road.
16,104669,"['potatoes', 'potatoes', 'potatoes', 'potatoes', 'potato', 'potato', 'potato', 'potatoes', 'potato', 'potatoes']",white plate,"[""They're considered one of the starchiest vegetables."", 'Potatoes have starch.', 'Potatoes are very starchy foods.']",The white plate has the most starch.
17,113589,"['triangle', 'triangle', 'triangle', 'triangles', 'triangle', 'triangles', 'triangles', 'triangles', 'triangle', 'triangle']",rectangular,"['Quiche is circular, so the pieces would be pie piece shaped.', 'It is cut like a pie', 'A triangle has three sides much like this quiche.']",The quiche is cut in rectangular shapes.
18,116825,"['knife', 'pocket knife', 'knife', 'pocketknife', 'knife', 'swiss knife', 'knife', 'pocket knife', 'knife', 'knife']",an army knife,"['There is a blade sticking out of the iconic swiss item.', 'The cat has a knife.', 'The cat is playing with a swiss army knife that is open on the table.']",A cat leans over a desk and paws at an army knife.
19,122217,"['squatting', 'downhill', 'squatted', 'crouching', 'bending', 'crouched', 'squat', 'sitting', 'squatting', 'crouch']",downhill,"['The people are on a skateboard.', 'The position is squatting.', 'They are crouching down on their skateboards to pick up speed.']",The people are skateboarding down a roadway in a downhill descent.
20,123213,"['dodgers', 'dodger', 'dodgers', 'catching', 'dodgers', 'dodgers', 'red', 'team members', 'playing hokky', 'dodgers']",the st. louis cardinals,"['The team is the dodgers.', ""The batter wearing blue and whites' shirt reads 'dodgers' though the o is partially obscured."", 'The name of the team is clearly seen on his uniform.']",The batter is a player on the St. Louis Cardinals baseball team.
21,132375,"['jar', 'canning jar', 'glass jar', 'mason jar', 'glass', 'canning jar', 'jar', 'mason jar', 'mason jar', 'ball jar']",glass,"['That is the type of jar on the table.', ""It's a type of jar."", 'The container is a jar.']",A glass vase with three pink flowers and a drink is shown in the image.
22,133244,"['athlete', 'athlete', 'tennis player', 'tennis player', 'men tennis', 'tennis player', 'tennis player', 'tennis player', 'tennis player', 'tennis']",tennis player,"['The profession is an athlete.', 'He is playing tennis.', 'The man pictured in on a tennis court with a tennis racket in his hand so therefore he is most likely getting paid to play tennis.']",The tennis player is holding a tennis racquet on a tennis court.
23,148999,"['steam', 'smoke', 'steam', 'smoke', 'steam', 'smog', 'smoke', 'steam', 'smoke', 'steam']",smoke,"['The air coming from the train is white because it is hotter than the other air.', 'Based on the common fuel used for this type of locomotive and the way energy is generated, answer a is the likeliest answer.', 'The train is powered by bowling water.']",The white cloud emitted by the train contains smoke.
24,152740,"['cows', 'cow', 'cow', 'cows', 'cows', 'cows', 'cows', 'cows', 'cows', 'cow']",herd of animals,"['The field is full of brown cows that are grazing and walking', 'The correct word is the a option with an s added to it or cattle, the plural of a.', 'There are cows grazing.']",A herd of animals grazing on a dry grass field.
25,153797,"['hand', 'left hand', 'hand', 'left hand', 'left hand', 'baseball', 'left hand', 'left hand', 'left hand', 'hand']",on his hand,"['It is not on his right hand.', 'A glove is worn on the terminal part of the arm. his right one is not covered.', ""The pitcher's right palm is empty. his other one has a glove.""]",A baseball player throws a pitch onto the field. The man has a glove
26,170670,"['beer', 'beer', 'wine', 'beer', 'beer', 'beer', 'beer', 'wine glasses', 'beer', 'beer']",water,"['Because of the foam on top of one them.', 'The beverage bottles on the table are different brands of beer.', 'The glasses on the table have dark foamy beer in them and beer bottles next to them.']",The glasses contain only water.
27,172083,"['restroom', 'bathroom', 'restroom', 'restroom', 'bathroom', 'bathroom', 'restroom', 'restroom', 'restroom', 'restroom']",bathroom,"['The area is a bathroom since there is a soap dispenser.', 'There are sinks in this area. it is not a church, bedroom, or carnival.', 'It is a bathroom.']",The counter top in the bathroom is designed with different colors.
28,174123,"['fork', 'fork', 'knife fork', 'fork', 'fork', 'knife fork', 'fork', 'fork', 'fork', 'fork']",fork,"[""That's what the person is holding in this hand in front of the pizza."", 'The person uses a fork.', 'The person is using a fork.']",A person is eating a pizza with a fork.
29,183437,"['yellow', 'yellow', 'yellow', 'yellow', 'black', 'yellow', 'yellow', 'yellow', 'yellow', 'black']",white,"['It is the color of a banana', 'The woman is holding a yellow phone in her hand.', 'The phone is yellow.']",The woman in the blue outfit has a white phone.
30,200162,"['stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop']",stop,"['There are traffic signals visible that have a red light displayed for trains approaching from behind the photographer.', 'The train must come to a halt at the traffic light.', 'Due to the red stop light you can understand what the trains must do.']","If a train is traveling under a signal light, it must stop."
31,213033,"['sun protection', 'raining', 'raining', 'raining', 'raining', 'rain', 'its raining', 'rain', 'rain', 'raining soon']",He is standing near the water,"['The sky is cloudy. cloudy skies indicate precipitation.', 'There is water falling', 'The ground appears wet and the sky seems grey so rain is most likely.']","If you are standing near the water, you should be holding an umbrella."
32,220732,"['city police', 'nyc', 'american', 'city', 'new york', 'philadelphia', 'nypd', 'nypd', 'cops', 'city']",City,"['The force is in new york.', 'The atrium clothing store is in nyc.', 'The area code of the phone number on the building covers the bronx, brooklyn, queens and staten island.']",The police car behind the truck is probably a City Police car.
33,228436,"['boats', 'boat', 'bicycle', 'bike', 'boat', 'boat', 'bike', 'boat', 'boat', 'bike']",bike,"['The mode is by bike.', 'The bike you could ride.', 'The mode of transport is the main focus of the image.']",A bicycle is a mode of transport that can traverse toward the horizon.
34,230362,"['sailboats', 'sailboat', 'sailboat', 'sailing vessel', 'sailboat', 'sail', 'sail', 'sailboat', 'fishing', 'sailboat']",sailboats,"['They all have long poles which are masts, and the mast hold sails.', 'The boats have masts. they do not have fishing equipment.', 'These boats have sails that move them in the wind.']",The sailboats are moored in a harbor full of dark clouds.
35,235399,"['moving', 'moving in', 'moving', 'unpacking items', 'moving', 'moving', 'moving in', 'moving', 'moving', 'moving']",Taking the dog to a vet,"['The dog is sitting in a van that is used for moving items. a mattress and cloths can be seen which indicate a person is leaving one place and going to live in another.', 'There is a large truck that is open in the back. there is a dog sitting in it and behind it is a mattress and blankets.', 'This is a box truck and it has furniture blankets and a mattress in it']",The dog is sitting in the back of a truck and a mattress. The dog
36,245513,"['twenty years', 'thirty years', '25 years', '25 years', '30 years', 'decades', 'twentyfive years', '25 years', '20-30 years', 'twenty years']",a few years,"['Giraffes can live a long time.', '20-30 years is the lifespan.', 'I looked up this answer on the internet since there is no way to tell the answer from the picture.']",Giraffes live for an average of a few years.
37,260470,"['shirt', 'sweater', 'sweater', 'shirt', 'shirt', 'shirt', 'shirt', 'shirt', 'sweater', 'shirt']",a red shirt,"['The hoodie is red', 'The customer is wearing a red long-sleeved polo.', ""The customer's is wearing a red top.""]",A counter topped with a large white frosted cake sitting next to a
38,262631,"['ceramic', 'porcelain', 'clay', 'jar', 'porcelain', 'ceramic', 'ceramic', 'made sand', 'glass', 'clay']",glass,"['The vase in this image was made on a kiln out of shaped clay.', 'The vase is clay.', 'The uneven marks seen in the making are an indication of the substance used to make it.']",The leaves are painted on the sides of the glass vase.
39,273132,"['eighty-five', 'seventy-five', 'elderly', '68', 'old', '60', 'senior', '64 years', 'old', 'old']",a woman who is elderly,"['She is older with grey hair but not really old yet', 'The woman looks to be pretty old.', 'The woman is still young enough to be mobile and able to take care of herself.']",The woman is sitting on a bench. The age of the woman is a woman
40,276804,"['usa', 'usa', 'us', 'america', 'united states', 'usa', 'usa', 'united states', 'usa', 'usa']",United States,"['The american flag is flown on the flagpole in the background.', ""There's an american flag in the back, so the game is in the us."", 'The red, white, and blue stars and stripes of the american flag is flying over the baseball field.']",The United States is the only country that has a baseball field.
41,284725,"['bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'passenger', 'bus', 'bus']",bus,"['The vehicle is a bus to transport people.', ""The other options don't match this scene at all."", 'The bus is filled with people.']",A bus is a vehicle that transports people and goods.
42,288862,"['skating', 'handstand', 'handstand', 'handplant', 'flip', 'handplant', 'handstand kickflip', 'skateboard trick', 'handstand', 'handstand']",skateboarding,"['His hand is on the ground and guiding him through the trick.', 'The man is holding his body up with his hand on a half pipe, which is the the way one would perform a handplant.', 'He is holding himself in the air with one hand.']",A man performing a trick on a ledge on a skateboard.
43,292236,"['unknown', 'conductor', 'signify role', 'uniform', 'design', 'cap', 'uniform requirement', 'train employees', 'uniform', 'uniform part']",They are waiting for a train,"['The man is wearing a uniform and the hat is part of it.', 'The man is wearing it as part of a uniform.', 'The men are wearing a uniform.']",A couple of men are standing next to train tracks. They are waiting for a train
44,293625,"['game', 'game', 'wii', 'wii', 'wii', 'wii', 'game', 'wii remote', 'wii', 'game']",a video game,"['The women play a game.', 'This is a nintendo wii remote and this is a gaming council.', 'They have wii remotes in their hands.']",The women are playing a video game together. The women are controlling a video game
45,296634,"['sitting insects', 'leaves', 'wood chips', 'ground', 'ground', 'wood chips', 'wooden mat', 'food', 'mulch', 'leaves']",a table,"['The dishes are sitting in a bed of leaves.', 'Under the dishes look to be leaves sitting on top of dirt.', 'The dishes are on the wood chips.']",The white bowls of food include soup and vegetables.
46,297427,"['glazed donut', 'doughnut', 'donut', 'donut', 'donut', 'glazed donut', 'donut', 'donut', 'glazed donut', 'donut']",donuts,"['The shape of it and icing on top of it is a donut.', 'A donut is being used.', 'It is a sugar covered fried piece of dough']",A cheeseburger made out of donuts is a burger made from a
47,298396,"['1230', '1220', '1240', '1220', '119', 'one twenty', 'afternoon', '120', 'one twenty', 'twelve twenty']",They are cooking dinner.,"['The hour hand on the clock is before 1. the minute hand is at 4.', ""That's what the clock says, 12:20."", ""It's obviously a based on the position of the hands on the clock.""]",The kitchen area with counter top space and dining room table is a kitchen.
48,309678,"['cheese', 'marination', 'tomato', 'tomatoes', 'tomato', 'tomato', 'fruit', 'tomato', 'tomato paste', 'tomato']",a sour cream,"['The person is placing a red fruit, not meat, on top of the red sauce. it is round, not pepper shaped.', 'The hand has a tomato in it.', 'The person is holding a cherry tomato above the pizza. it is logical to assume she may put the tomato on top of the pizza sauce.']",A person is holding a tomato above a tray. The person is going to put
49,313783,"['grilling', 'grill', 'grilling', 'grilling', 'grill', 'grilling', 'grilling', 'grilled', 'grilling boiling', 'grilling']",cooking,"['The meat has grill marks on it.', 'The meal was grilled.', 'There are darkened lines on the meat from the cooking method.']","Burger patties, potatoes and carrots are a typical meal that is prepared using cooking"
50,316054,"['train', 'train', 'train', 'rail', 'train', 'train', 'train', 'train', 'train', 'train']",train,"['The transport is by rail.', 'It is a train traveling along tracks.', 'Rail transportation carries trains.']",A train traveling through a rural country side covered in grass.
51,320743,"['riding elephant', 'riding', 'riding', 'riding them', 'riding training', 'riding', 'riding', 'five', 'riding', 'riding']",riding,"['They are mounted on top of the elephants.', 'They are clearly performing option a while the things associated with the other options are not obviously or visibly happening at the moment.', 'The people ride.']",The men in blue are riding elephants.
52,322163,"['modern restraunt', 'pizza parlor', 'pizzeria', 'pizza joint', 'pizza place', 'pizzeria', 'italian', 'pizza', 'pizza', 'breakfast']",a sushi restaurant,"['The restaurant makes pizza.', 'People are making pizza.', 'It is a place that specializes in pizza.']",A sushi restaurant is a type of restaurant that serves sushi.
53,344621,"['scrabble', 'checkers', 'checkers', 'checkers', 'scrabble', 'checkers', 'draughts', 'scrabble', 'checkers', 'checkers']",chess,"['Chess is played on a checkerboard.', 'There is a checkerboard on the coffee table with pieces arranged like it is in the middle of a game.', 'The game is draughts.']",Chess is a game played on a board.
54,349860,"['n pattern', 'letters', 'zigzag', 'outline pattern', 'lettering', 'polka dots', 'letters', 'graffiti', 'zero', 'letters']",striped,"[""That's the closest word that can be used to describe the pattern."", ""The pattern on the bottom of the man's skateboard is a bright zigzag pattern."", 'The pattern is polka dots.']",The skateboard has a striped pattern on the bottom.
55,361730,"['squid', 'octopus', 'octopus', 'octopus', 'octopus', 'octopus', 'octopus', 'octopus', 'octopus', 'octopus']",a boat,"['The blue one is an octopus.', 'A huge blue sphere with some attached tentacles are floating in the air.', 'It has a large head and eight legs.']",The blue kite in the lower right corner is shaped like a boat.
56,367680,"['travelling', 'pulling', 'pulling', 'pulling', 'pulling it', 'pulling', 'pulling it', 'cart pulling', 'riding someone', 'pulling']",a horse is grazing,"['The horse is dragging the cart along.', 'The horse in front of the cart is being used to pull it down the road.', 'The horse is attached to the cart. the horse is moving, not attacking, stopping, or eating, the cart.']",A horse is grazing in front of a cart.
57,372819,"['exercise', 'ball', 'exercise', 'excited', 'exercise', 'exercise', 'exercise', 'exercise', 'ball', 'food']",a treat,"['All four of these dogs are captured in motion midstride in this image. such physical activity is considered exercise.', 'The dogs are running outside. they are not interacting with the people behind them.', 'Their parents took them to a park to run.']",The dogs are running away from the women on the bench.
58,376278,"['stripes', 'striped', 'line pattern', 'mohawk', 'stripes', 'striped', 'zebra pattern', 'mohawk', 'striped', 'striped']",striped,"['The zebras have alternating black and white vertical lines.', 'The pattern is striped.', 'The zebra has stripes on its body.']",Zebras have striped hair.
59,377882,"['owner preference', 'owner preference', 'different owners', 'visibility', 'tell apart', 'be unique', 'personal preference', 'red', 'personal preference', 'be noticed']",They are for different purposes,"['The colors make them easy to see and easier to distinguish from each other.', 'The bright colors on these boats help them stand out against the ocean.', 'The boats need to be visible.']",Different types of boats are painted in different colors for different purposes.
60,377946,"['making schnitzel', 'food', 'food', 'food', 'selling food', 'selling food', 'schnitzel', 'selling food', 'selling food', 'cooking']",selling food,"['The yellow truck is parked on the street to sell schnitzel.', 'The text on the side of the yellow truck indicates that it is selling schnitzel & things.', 'There is a fork and knife with a plate. this is associated with eating something.']",A yellow food truck is parked close to a car. The yellow truck is concerned
61,395801,"['parking', 'parking', 'trash', 'parking', 'parking', 'parking', 'transportation', 'parking', 'parking', 'parking']",a free ice cream,"['People can park their cars free of charge.', 'There is free parking.', 'You can tell by the sign and the arrow as to what it is used for.']",The woman in red is offering a free ice cream to anyone who walks by the
62,403122,"['serve', 'serve', 'serve', 'serve', 'serve', 'serve', 'fore hand', 'service', 'service', 'serve']",serve,"['The tennis player is holding the ball. the other player might use a forehand, backhand, or slice shot to return the ball after she hits it.', 'The girl is about to serve.', 'The woman has the ball in her hand.']",The female tennis player is about to serve the ball.
63,403565,"['bike', 'picture', 'picture', 'picture', 'photographs', 'photograph', 'picture', 'picture', 'picture', 'picture']",a picture,"['He is holding a camera up to take a picture', 'The man is holding a camera and taking a picture of something outside.', 'He is holding a camera up in front of his eyes.']",A man wearing a bike helmet is standing next to a bicycle. He is taking
64,405972,"['prevent escape', 'encloses them', 'keep in', 'safe keeoing', 'containment', 'keep contained', 'keeping captive', 'fencing', 'containment', 'contain']",to keep them from escaping,"['The elephants are stuck.', 'The wire and posts near the elephants are used to keep the elephants contained in a specific space.', 'The animals are in captivity at the zoo.']",An elephant is a large carnivorous mammal that lives in the
65,408774,"['outfield', 'pitcher', 'forwarded', 'field', 'outfield', 'left field', 'left field', ""can't see"", 'outfield', 'shortstop']",shortstop,"['The position is left field.', 'The player is in the left field.', 'The person is diving for a ball on the left side of a baseball field. the person is standing farther back than the bases.']",The shortstop is diving for a catch.
66,411530,"['ski lift', 'ski lift', 'chairlift', 'chairlift', 'lift', 'ski lift', 'ski lift', 'ride', 'chairlift', 'ski lift']",a ski lift,"['It would take too long to ski up the hill. the mode of transportation is above the ground and is not fully enclosed.', 'The skiers will use a chairlift.', 'Movement up a snowcapped hill is quicker and easier using this piece of equipment.']",A ski lift is used to get people up a hill.
67,416534,"['study', 'reading', 'listen music', 'reading', 'reading', 'living room', 'reading', 'changing', 'fully furniture', 'reading']",a person is seated,"['There are books on shelves', 'There are two bookcases with books on them to the left of the partition as well as spots to sit.', 'To the left of the partition is a bookcase full of books.']","The room has a table, chair, TV monitor and stand."
68,417632,"['drink toast', 'drink', 'drink wine', 'drink wine', 'celebrate', 'drink', 'drink wine', 'drink', 'taste wine', 'drink wine']",drink,"['They are holding glasses that someone else is pouring wine into.', 'The man on the left is pouring wine into the glasses.', 'They are getting wine poured into their glasses']",The man is pouring wine into two other mens wine glasses.
69,421757,"['colleges', 'scientists universities', 'coastguard', 'educational', 'university', 'coast guard', 'research institution', 'coastguard', 'research', 'marina']",the government,"['Usually universities do research.', 'The institution is educational.', 'The word is research. this function is often performed by universities.']",The government often performs the function represented by the word on the main level of the ship
70,424721,"['apple', 'pineapple', 'pineapple', 'apple', 'pineapple', 'apple', 'pineapple', 'apples', 'pineapple', 'pineapple']",apples,"['The fruit is pineapple.', 'It is yellow.', 'Ham is not a fruit and is not next to itself. the apples and carrots are still whole.']",The ham is cut up next to the vegetables.
71,434548,"['pitcher', 'baseball player', 'baseball', 'pitcher', 'pitcher', 'pitcher', 'position', 'pitcher', 'pitcher', 'pitcher']",A baseball player,"['The player is shown in the center mound position.', 'He is on the mound to throw a ball to the batters', ""He's the pitcher on the mound""]",A baseball player is a person who plays baseball.
72,439715,"['stirrups', 'stirrups', 'stirrups', 'stirrups', 'stirrups', 'stirrup', 'saddle', 'harness', 'stirrup', 'stirrups']",a horse,"['They have metal pieces up over his foot', 'The man has his feet in stirrups.', 'The man on the horse has his feet in the stirrups while he rides.']",A man is riding a horse in a uniform next to tall green trees. The
73,445658,"['cotton', 'cotton', 'paper', 'fabric', 'cotton', 'cotton', 'cotton', 'cotton', 'fabric', 'cotton']",cotton,"['Cloth material used in kitchen are normally absorbing, non-abrasive and easy to wash.   cotton is a material that meets these criteria.', 'Usually they are described as ""terrycloth"".', 'The cotton allows them to soak up more kitchen mess.']",Cotton towels are generally made of cotton.
74,446651,"['daughter', 'daughter', 'daughter', 'daughter', 'daughter', 'daughter', 'daughter', 'daughter', 'daughter', 'daughter']",sister,"['The girl is very young than the man in the front.', 'The girl has a daughter.', 'The girl is significantly younger than him.']",The girl behind the man is likely his sister.
75,448256,"['engine', 'motor', 'water', 'oil', 'water', 'roadways', 'road', 'water', 'on wheel', 'water']",a car,"['It has wheels and moves along paved paths.', 'A boat and a truck are parked next to each other. the hood of the truck is open and people stand at the engine.', 'The surface is the road.']",The car with its hood open is the conveyance with a problem here.
76,457559,"['lime', 'red', 'lime', 'blue team', 'red', 'red', 'red', 'blue team', 'red', 'blue team']",the team with the ball,"['The red team is offensive.', 'The team on offense is red colored.', 'The red team has the ball.']",The team with the ball is on offense.
77,473015,"['albatross', 'swan', 'pelican', 'swan', 'duck', 'duck', 'dock', 'seagull', 'sea bird', 'duck']",duck,"['The bird is an albatross.', 'It looks like a seagull but is much bigger.', 'This is an ocean bird.']",Ducks are birds that are named for their ability to swim.
78,474293,"['purse', 'purse', 'purse', 'bag', 'back pack', 'purse', 'bag', 'purse', 'hand bag', 'purse']",a hat,"['The woman has a purse hanging from her shoulder.', 'A woman walks past a store with a purse over her shoulder.', 'It has a strap and the shape and size of it indicates that it can hold items.']",A woman is standing in a store with a hat hanging on her shoulder.
79,484978,"['dieting', 'dieting', 'eat', 'eating breakfast', 'left-handed eating', 'using left', 'eat left-handed', 'eating alone', 'eat yogurt', 'eat yogurt']",eats,"['The woman is eating her food with her left hand.', 'A woman is holding a spoon in her left hand. not many people are predominantly left handed.', 'The fork is in her left hand. people eat with their dominant hand.']","The average human eats about 2,000 calories per day."
80,493284,"['ears', 'tusks', 'tusks', 'tusk', 'tusks', 'tusks brains', 'tusks', 'tusks', 'tusks', 'tusks']",their tusks,"['The most precious part of the elephant is its tusk.', 'The elephants have ivory tusks growing from their faces that is worth a lot of money.', 'People used to harvest the white part for commerce.']",The tusks of elephants are the most valuable part of their body.
81,495054,"['virgin atlantic', 'great britain', 'united kingdom', 'england', 'uk', 'usa', 'united kingdom', 'england', 'britain', 'america']",United States,"['The headquarters are the us.', 'The company name is virgin atlantic that was founded and has headquarters in london england.', 'The airplane has virgin atlantic livery. this company is based in england.']",The United States is the largest country in the world.
82,507797,"['senior citizens', 'seniors', 'elderly', 'elderly', 'seniors', 'senior citizens', 'women', 'tourists', 'elderly', 'senior citizens']",A group of people,"['The people getting off the bus are older adults.', 'Most of the people are old.', 'The passengers seen leaving the bus in this image are all elderly.']",The bus is carrying a group of people.
83,509699,"['tube', 'crt', 'crt television', 'big screen', 'tube', 'console', 'old', 'console', 'black white', 'old']",a tv,"['Years ago all televisions were tubed and consoled.', 'The tv is very bulky.', 'This was the only type of television available in the time period when this picture was taken.']",A television is a device that broadcasts a television signal.
84,512929,"['smile', 'smile', 'joy', 'smiling', 'happy', 'smiles', 'smiling', 'happy', 'smiles', 'smiles']",happy,"[""They're teeth are showing and the corners of their lips move up."", 'The kids are smiling.', 'The girls are very happy.']",The children are happy because they are cooking in one pan together.
85,520324,"['warbirds', 'private plane', 'air', 'airplane', 'plane', 'air travel', 'plane', 'flying', 'road', 'airplane']",airplane,"['A plane is shown and it is a type of air transportation since it flies in the air.', 'These modes of transportation are small aircraft used to transport people or for recreation in the sky.', 'Planes fly in the air.']",A single engine airplane is shown in this image.
86,520707,"['airport', 'airport', 'airport', 'airport', 'airport', 'airport', 'airport', 'airport', 'airport', 'airport']",airport,"['People are pulling luggage through a crowded baggage claim area.', 'The venue is in the airport.', 'There are visible baggage claims. baggage claims are mostly present in answer a.']",Several people are seen walking through the airport while waiting for their bags.
87,520910,"['staring', 'looking', 'staring', 'opened', 'staring', 'staring', 'staring', 'looking', 'closed', 'staring']",looking at the lights,"['The woman stares.', 'Her eyes are open, and she is looking straight ahead, a no-brainer as what she is doing.', 'The eyes are staring.']",The woman is looking at the lights outside the bathroom.
88,533206,"['toasted', 'grill', 'sandwich press', 'grilled', 'pan cooked', 'grilled', 'grilled', 'oven', 'baked', 'grilled']",Sandwich,"['The sandwich has marks from being grilled on it.', 'The marks from the cooking tools are still on the food.', 'There are burned marks from the cooking process on the bread.']",A sandwich is a food that is cooked on a metal tray.
89,540280,"['photography', 'phootshot', 'lighting', 'photography', 'lighting', 'lighting', 'lighting', 'shelter', 'lighting', 'lighting']",cover the camera lens,"['The umbrella is for photographic light.', 'The umbrella is for lighting.', 'There is a bright light being reflected from the interior of the umbrella, which is indoors. the inside of an umbrella is not useful for protecting from the rain, so this one must have another purpose.']",The umbrella is used to cover the camera lens.
90,546219,"['dinner', 'breakfast', 'lunch', 'dinner', 'breakfast', 'breakfast', 'breakfast', 'lunch', 'breakfast', 'dinner']",a burger,"['There is a whole group of family sitting at a table. there are coffee mugs and eggs on a plate.', 'The people sitting at the table are drinking coffee and eating toast which is probably happening around breakfast time.', 'There are many coffee mugs and also appears to be orange juice, which are beverages associated with breakfast.']",Burgers are a popular choice for a large group to eat together.
91,547816,"['shampoo', 'soap', 'shampoo', 'shampoo conditioner', 'shampoo', 'shampoo conditioner', 'shampoo', 'shampoo conditioner', 'shampoo', 'shampoo conditioner']",sanitizer,"['They are located within the shower.', 'They are in the shower.', 'They are bottles of stuff to wash your hair with and condition it.']",The bottles of sanitizer are visible in the image.
